root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses
720575940621375231,['lGRN'; 'Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'; 'gustatory receptor neuron/GRN?'],GNG.2013,ACH,afferent,sensory,gustatory,low-salt,['LB2'],,MxLbN,['reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'; 'highly_reciprocal_neuron'],left,200,403
720575940638218173,['Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'],GNG.2029,ACH,afferent,sensory,gustatory,low-salt,['LB2'],,MxLbN,['reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],left,233,437
720575940626016017,['lGRN'; 'Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'; 'gustatory receptor neuron/GRN?'],GNG.2098,ACH,afferent,sensory,gustatory,low-salt,['LB2'],,MxLbN,['reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'; 'highly_reciprocal_neuron'],left,239,325
720575940631082124,['lGRN'; 'Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'; 'gustatory receptor neuron/GRN?'],GNG.2040,ACH,afferent,sensory,gustatory,low-salt,['LB2'],,MxLbN,['reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'; 'highly_reciprocal_neuron'],left,270,380
720575940610683315,['Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'; 'gustatory receptor neuron/GRN'],GNG.1981,ACH,afferent,sensory,gustatory,low-salt,['LB2'],,MxLbN,['reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'; 'highly_reciprocal_neuron'],left,220,458
720575940612920386,['Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'; 'gustatory receptor neuron/GRN?'; 'interneuron sim to gustatory receptor neuron/GRN'],GNG.2230,ACH,afferent,sensory,gustatory,low-salt,['LB2'],,MxLbN,['reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],left,242,496
720575940614211295,['lGRN'; 'Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'; 'gustatory receptor neuron/GRN?'],GNG.2229,ACH,afferent,sensory,gustatory,low-salt,['LB2'],,MxLbN,['reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'; 'highly_reciprocal_neuron'],left,183,506
720575940624079544,['lGRN'; 'Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'; 'gustatory receptor neuron/GRN?'],GNG.2153,ACH,afferent,sensory,gustatory,low-salt,['LB2'],,MxLbN,['reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'; 'highly_reciprocal_neuron'],left,209,505
720575940628198503,['lGRN'; 'Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'; 'gustatory receptor neuron/GRN?'],GNG.2043,ACH,afferent,sensory,gustatory,low-salt,['LB2'],,MxLbN,['reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'; 'highly_reciprocal_neuron'],left,261,501
720575940627438906,[],GNG.2421,,afferent,sensory,gustatory,low-salt,['LB2'],,MxLbN,['reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,206,341
